Date,Open,High,Min,Close,Stock_trade
20190305,23.34,23.68,23.01,23.5,91395
20190306,23.47,23.53,22.4,22.41,140565
20190307,22.33,22.4101,21.73,22.08,144801
20190308,21.35,22.085,21.035,22.01,127190
20190311,22.15,23.075,21.98,22.96,129622
20190312,23.1,23.795,22.78,23.49,133218
20190313,23.66,24.15,23.35,23.38,128481
20190314,23.37,23.49,22.8,22.82,102848
20190315,23.1,23.65,23.01,23.29,100176
20190318,23.3,23.62,23.04,23.25,82954
20190319,23.6,26.08,23.59,26,367255
20190320,26.49,26.88,25.31,25.7,351160
20190321,25.78,28.11,25.71,27.89,307713
20190322,27.54,27.75,26.33,26.37,272206
20190325,26.29,26.99,25.54,25.97,212189
20190326,26.69,26.98,25.46,25.69,187512
20190327,25.7,25.88,24.55,24.89,231098
20190328,25.1,25.56,24.65,25.06,153301
20190329,25.58,25.73,25.25,25.52,122828
20190401,26.42,26.555,25.83,26.36,163977
20190402,26.51,26.8,26.09,26.75,143788
20190403,28.02,29.9498,27.88,29.02,513717
20190404,28.88,29.385,28.61,29.09,224709
20190405,29.64,29.69,28.8,28.98,176220
20190408,28.69,28.95,28.18,28.53,162077
20190409,28.24,28.38,27.19,27.24,210555
20190410,27.46,28.12,27.32,27.83,162014
20190411,27.81,28.05,27.46,27.79,119286
20190412,28.21,28.38,27.66,27.85,108384
20190415,27.8,27.84,26.96,27.33,112064
20190416,27.72,28.18,27.49,27.93,129532
20190417,28.21,28.27,27.22,27.49,148671
20190418,27.6,27.88,27.34,27.68,111034
20190422,27.62,28.23,27.39,28.18,100563
20190423,28.18,28.49,27.79,27.97,116441
20190424,28.1,28.85,27.93,28.46,130075
20190425,28.67,28.86,27.36,27.66,175625
20190426,27.66,27.9,27.05,27.88,156927
20190429,27.9,28.14,27.5,27.69,122555
20190430,27.59,27.8,26.94,27.63,203693
20190501,28.95,29.15,26.78,26.81,357870
20190502,26.94,28.64,26.61,28.29,273459
20190503,28.3,28.4201,27.66,28.22,153149
