Date,Open,High,Min,Close,Stock_trade
20190305,186.94,188.08,185,185,89121
20190306,184.38,185.59,183.02,184.17,87662
20190307,180.91,181.8,176.73,177.32,132173
20190308,171.565,175.35,171.565,175.03,117403
20190311,177.83,181.72,177.58,180.41,96164
20190312,182.04,182.18,179.51,180.63,61341
20190313,180.73,182.535,179.26,180.7,60552
20190314,179.06,180.82,178.01,180.36,75420
20190315,180.66,181.45,179.66,180.97,67696
20190318,181.93,182.89,180.76,181.83,59051
20190319,181.63,183.36,180.85,182.14,71702
20190320,180.94,181.95,178.43,181.28,86676
20190321,178.95,181.73,178.52,181.5,73533
20190322,179.77,180.48,175.3362,176.26,107259
20190325,174.33,178.9,174.1,178.77,74256
20190326,179.7,180.65,177.095,178.08,65588
20190327,177.7,179.83,176.9125,177.03,62575
20190328,177.47,178.53,175.97,177.73,66873
20190329,180.73,182.6,179,182.45,102736
20190401,185.09,185.56,180.89,180.89,105828
20190402,181.46,183.5627,180.95,181.74,69543
20190403,179.51,180.7,176.76,178.32,222434
20190404,177.04,181.96,176.89,181.07,134083
20190405,182.51,185.5,182,185.35,139602
20190408,184.19,187.82,184.01,186.5,111282
20190409,186.49,187.89,186.16,187.19,94671
20190410,186.69,187.4,184,186.19,88688
20190411,185.15,186.06,183.75,184.98,62467
20190412,187.71,189.79,187.14,188.91,90689
20190415,188.06,188.17,182.56,183.07,122332
20190416,185.55,185.79,183.4,185.78,89609
20190417,187.34,188.2,185.78,187.55,96393
20190418,186.41,187.28,185.39,186.94,64238
20190422,184.5,186.47,183.61,185.38,63682
20190423,186,188.15,185.44,187.29,87575
20190424,186.76,186.9,184.58,185.67,85384
20190425,185.24,188.13,183.955,187.88,82681
20190426,187.88,188.74,185.51,187.09,64821
20190429,187.42,188,185.76,186.94,59070
20190430,186.3,188.25,183.82,185.57,92767
20190501,186.75,193.195,185.88,189.31,124136
20190502,189.42,192.7,186.65,190.39,94081
20190503,191.88,195.72,191.88,195.21,118259
