Date,Open,High,Min,Close,Stock_trade
20190305,1702.95,1707.8,1689.01,1692.43,85399
20190306,1695.97,1697.75,1668.28,1668.95,88462
20190307,1667.37,1669.75,1620.51,1625.95,108707
20190308,1604.01,1622.72,1586.57,1620.8,114278
20190311,1626.12,1672.29,1626.01,1670.62,84660
20190312,1669,1684.27,1660.98,1673.1,76842
20190313,1683,1700,1679.35,1690.81,91596
20190314,1691.2,1702,1684.34,1686.22,70398
20190315,1703,1718.8,1693.13,1712.36,127115
20190318,1712.7,1750,1712.63,1742.15,133327
20190319,1753.51,1784.16,1753.51,1761.85,156727
20190320,1769.94,1799.5,1767.03,1797.27,151894
20190321,1796.26,1823.75,1787.28,1819.26,143722
20190322,1810.17,1818.98,1763.11,1764.77,163117
20190325,1757.79,1782.68,1747.5,1774.26,131003
20190326,1793,1805.77,1773.36,1783.76,124950
20190327,1784.13,1787.5,1745.68,1765.7,116189
20190328,1770,1777.93,1753.47,1773.42,87889
20190329,1786.58,1792.86,1776.63,1780.75,85575
20190401,1800.11,1815.67,1798.73,1814.19,123465
20190402,1811.02,1820,1805.12,1813.98,89261
20190403,1826.72,1830,1809.62,1820.7,107471
20190404,1820.65,1828.75,1804.2,1818.86,99168
20190405,1829,1838.58,1825.19,1837.28,92985
20190408,1833.23,1850.2,1825.11,1849.86,95771
20190409,1845.49,1853.09,1831.78,1835.84,98470
20190410,1841,1848,1828.81,1847.33,87831
20190411,1848.7,1849.95,1840.31,1844.07,65528
20190412,1848.4,1851.5,1841.3,1843.06,72483
20190415,1842,1846.85,1818.9,1844.87,103957
20190416,1851.35,1869.77,1848,1863.04,84175
20190417,1872.99,1876.47,1860.44,1864.82,72023
20190418,1868.79,1870.82,1859.48,1861.69,66061
20190422,1855.4,1888.42,1845.64,1887.31,71791
20190423,1891.2,1929.26,1889.58,1923.77,108675
20190424,1925,1929.69,1898.16,1901.75,95409
20190425,1917,1922.45,1900.31,1902.25,178573
20190426,1929,1951,1898,1950.63,220034
20190429,1949,1956.34,1934.09,1938.43,100607
20190430,1930.1,1935.71,1906.95,1926.52,86621
20190501,1933.09,1943.64,1910.55,1911.52,82770
20190502,1913.33,1921.55,1881.87,1900.82,112010
20190503,1949,1964.4,1936,1962.46,172761
