Date,Open,High,Min,Close,Stock_trade
20190305,175.94,176,174.54,175.53,127235
20190306,174.67,175.49,173.94,174.52,137664
20190307,173.87,174.44,172.02,172.5,180540
20190308,170.32,173.07,169.5,172.91,167424
20190311,175.49,179.12,175.35,178.9,211345
20190312,180,182.67,179.37,180.91,215964
20190313,182.25,183.3,180.92,181.71,188079
20190314,183.9,184.1,182.56,183.73,155810
20190315,184.85,187.33,183.74,186.12,202483
20190318,185.8,188.39,185.79,188.02,163745
20190319,188.35,188.99,185.92,186.53,197354
20190320,186.23,189.49,184.73,188.16,193684
20190321,190.02,196.33,189.81,195.09,309649
20190322,195.34,197.69,190.78,191.05,298955
20190325,191.51,191.98,186.6,188.74,308864
20190326,191.664,192.88,184.58,186.79,344117
20190327,188.75,189.76,186.55,188.47,196104
20190328,188.95,189.559,187.53,188.72,152294
20190329,189.83,190.08,188.54,189.95,149798
20190401,191.64,191.68,188.38,191.24,181001
20190402,191.09,194.46,191.05,194.02,169579
20190403,193.25,196.5,193.15,195.35,164495
20190404,194.79,196.37,193.14,195.69,134613
20190405,196.45,197.1,195.93,197,124216
20190408,196.42,200.23,196.34,200.1,180927
20190409,200.32,202.85,199.23,199.5,232197
20190410,198.68,200.74,198.18,200.62,160823
20190411,200.85,201,198.4431,198.95,142494
20190412,199.2,200.14,196.21,198.87,195430
20190415,198.58,199.85,198.01,199.23,140400
20190416,199.46,201.37,198.56,199.25,201698
20190417,199.54,203.38,198.61,203.13,207255
20190418,203.12,204.15,202.52,203.86,146311
20190422,202.83,204.94,202.34,204.53,116211
20190423,204.43,207.75,203.9,207.48,166050
20190424,207.36,208.48,207.05,207.16,124534
20190425,206.83,207.76,205.12,205.28,146861
20190426,204.9,205,202.12,204.3,141086
20190429,204.4,205.97,203.86,204.61,138972
20190430,203.06,203.4,199.11,200.67,332076
20190501,209.88,215.31,209.23,210.52,441450
20190502,209.84,212.65,208.13,209.15,233410
20190503,210.89,211.84,210.23,211.75,148449
