Date,Open,High,Min,Close,Stock_trade
20190305,51.12,51.505,50.97,51.3,81582
20190306,51.37,51.79,50.92,51.67,84054
20190307,51.55,51.97,51.205,51.29,103893
20190308,50.72,51.13,50.51,51.07,92223
20190311,51.14,52.09,51.1,51.92,79795
20190312,52.01,52.275,51.68,52.15,100865
20190313,52.41,52.855,52.14,52.59,102587
20190314,52.63,52.96,52.51,52.74,87688
20190315,52.94,53.62,52.93,53.2,101013
20190318,53.27,53.935,53.09,53.51,98870
20190319,53.79,54,53.14,53.31,104877
20190320,53.16,53.87,52.855,53.26,114388
20190321,53.08,54.23,53.04,53.94,101921
20190322,53.91,54.14,52.7,52.74,120039
20190325,52.7,52.93,52.245,52.73,96680
20190326,53.19,53.485,53,53.23,88610
20190327,53.3,53.66,52.74,53.14,116911
20190328,53.19,53.69,53.02,53.36,83498
20190329,53.7,54,53.36,53.99,89929
20190401,54.475,55.02,54.39,54.98,101268
20190402,55,55.41,54.97,55.29,86425
20190403,55.46,55.8,55.07,55.63,102884
20190404,55.37,55.68,54.86,55.14,95592
20190405,55.25,55.61,55.13,55.21,71906
20190408,55.2,55.56,54.79,55.49,78062
20190409,55.08,55.42,54.86,55.18,85623
20190410,55.11,55.84,55.11,55.82,70640
20190411,55.93,55.95,55.305,55.6,78430
20190412,55.93,56.355,55.79,56.29,74776
20190415,56.4,56.61,56.235,56.56,71607
20190416,56.62,57.525,56.61,56.95,102121
20190417,57.18,57.32,56.285,56.31,129181
20190418,56.63,56.695,56.11,56.4,89549
20190422,56.16,56.6,56.1,56.34,66901
20190423,56.43,56.695,56.2,56.69,91698
20190424,56.64,57.15,56.58,56.88,69748
20190425,56.46,56.78,56.01,56.33,87785
20190426,56.02,56.37,55.68,55.88,101726
20190429,55.665,56.22,55.55,56.13,78664
20190430,56,56.12,55.53,55.95,99917
20190501,56,56.35,55.51,55.58,95545
20190502,55.48,55.89,54.82,54.94,131432
20190503,54.64,54.99,54.18,54.94,133586
