Date,Open,High,Min,Close,Stock_trade
20190305,167.37,171.88,166.55,171.26,190078
20190306,172.9,173.57,171.27,172.51,152700
20190307,171.5,171.74,167.61,169.13,130533
20190308,166.2,169.62,165.97,169.6,93861
20190311,171.6,174.3,171.58,172.07,122335
20190312,172.09,173.8,171.2178,171.92,93185
20190313,172.32,174.03,172.12,173.37,86093
20190314,169.76,171.15,168.16,170.17,126243
20190315,167.16,167.58,162.51,165.98,211064
20190318,163.57,163.9,159.28,160.47,239965
20190319,161.48,163.82,160.82,161.57,159613
20190320,161.5,166.12,161.24,165.44,133290
20190321,164.89,166.39,163.75,166.08,115327
20190322,165.65,167.42,164.09,164.34,121105
20190325,163,166.54,162,166.29,93138
20190326,167.35,169.45,166.3499,167.68,110500
20190327,167.85,168.94,164.79,165.87,84882
20190328,164.57,166.72,163.33,165.55,78088
20190329,166.39,167.19,164.81,166.69,76904
20190401,167.83,168.9,167.2789,168.7,80806
20190402,170.14,174.9,169.55,174.2,164106
20190403,174.5,177.96,172.95,173.54,192745
20190404,176.02,178,175.5301,176.02,132912
20190405,176.88,177,175.1,175.72,75074
20190408,175.21,175.5,174.23,174.93,60254
20190409,175.62,179.19,175.55,177.58,128460
20190410,178.18,178.79,176.54,177.82,81758
20190411,178.24,178.4,177,177.51,56843
20190412,178,179.63,177.95,179.1,86287
20190415,178.5,180.5,176.87,179.65,80103
20190416,179,180.17,178.3,178.87,82694
20190417,179.6,180.74,178.36,178.78,69225
20190418,178.8,178.88,177.34,178.28,73068
20190422,178.25,181.665,178.25,181.44,93790
20190423,182.74,184.22,181.48,183.78,141264
20190424,184.49,185.14,181.65,182.58,270000
20190425,196.98,198.48,192.12,193.26,352319
20190426,192.5,192.9,189.09,191.49,162107
20190429,190.95,195.41,190.65,194.78,138800
20190430,194.19,197.39,192.28,193.4,150586
20190501,194.78,196.1769,193.01,193.03,109406
20190502,193,194,189.75,192.53,104855
20190503,194.38,196.16,193.71,195.47,107783
