Date,Open,High,Min,Close,Stock_trade
20190305,1150.06,1169.61,1146.19,1162.03,37814
20190306,1162.49,1167.57,1155.49,1157.86,23457
20190307,1155.72,1156.76,1134.91,1143.3,27435
20190308,1126.73,1147.08,1123.3,1142.32,28311
20190311,1144.45,1176.19,1144.45,1175.76,35532
20190312,1178.26,1200,1178.26,1193.2,44320
20190313,1200.64,1200.93,1191.94,1193.32,31319
20190314,1194.51,1197.88,1184.48,1185.55,27753
20190315,1193.38,1196.57,1182.61,1184.46,36313
20190318,1183.3,1190,1177.42,1184.26,24701
20190319,1188.81,1200,1185.87,1198.85,25152
20190320,1197.35,1227.14,1196.17,1223.97,40260
20190321,1216,1231.79,1213.15,1231.54,25835
20190322,1226.32,1230,1202.83,1205.5,36697
20190325,1196.93,1206.4,1187.04,1193,29497
20190326,1198.53,1202.83,1176.72,1184.62,40319
20190327,1185.5,1187.56,1159.37,1173.02,33257
20190328,1171.54,1171.57,1159.43,1168.49,21331
20190329,1174.9,1178.99,1162.88,1173.31,25516
20190401,1184.1,1196.66,1182,1194.43,29863
20190402,1195.32,1201.35,1185.71,1200.49,18381
20190403,1207.48,1216.3,1200.5,1205.92,23754
20190404,1205.94,1215.67,1204.13,1215,21708
20190405,1214.99,1216.22,1205.03,1207.15,21169
20190408,1207.89,1208.69,1199.86,1203.84,21170
20190409,1196,1202.29,1193.08,1197.25,20793
20190410,1200.68,1203.79,1196.43,1202.16,17723
20190411,1203.96,1207.96,1200.13,1204.62,16812
20190412,1210,1218.35,1208.11,1217.87,21149
20190415,1218,1224.2,1209.11,1221.1,23934
20190416,1225,1230.82,1220.12,1227.13,21511
20190417,1233,1240.56,1227.82,1236.34,29901
20190418,1239.18,1242,1234.61,1236.37,22985
20190422,1235.99,1249.09,1228.31,1248.84,17712
20190423,1250.69,1269,1246.38,1264.55,30040
20190424,1264.12,1268.01,1255,1256,21554
20190425,1264.77,1267.41,1252.03,1263.45,30182
20190426,1269,1273.07,1260.32,1272.18,29736
20190429,1274,1289.27,1266.29,1287.58,75198
20190430,1185,1192.81,1175,1188.48,145159
20190501,1188.05,1188.05,1167.18,1168.08,68789
20190502,1167.76,1174.19,1155,1162.61,45885
20190503,1173.65,1186.8,1169,1185.4,45645
