Date,Open,High,Min,Close,Stock_trade
20190305,138.37,138.74,137.555,137.88,29526
20190306,138.12,138.3892,136.72,136.98,31419
20190307,136.61,136.89,134.6343,135.36,44712
20190308,134.21,135.24,133.58,135.09,37090
20190311,136.03,137.73,135.84,137.71,38851
20190312,138.52,139.695,137.86,138.28,37498
20190313,138.05,139.325,137.85,138.56,33742
20190314,138.51,138.94,138.06,138.79,27360
20190315,139.37,140.33,139.23,139.43,34451
20190318,139.83,140.365,138.72,140.21,32783
20190319,140.96,141.7024,140.002,140.49,36494
20190320,140.53,140.7,138.98,139.6,33231
20190321,139.1,142.12,138.88,141.44,35276
20190322,140.97,141.44,138.9,139.45,41238
20190325,139.06,139.91,138.35,139.18,30580
20190326,139.93,141.02,139.42,140.22,26467
20190327,140.41,140.49,138.4,139.24,31608
20190328,139.91,140.44,139.1,139.92,24495
20190329,140.5,141.22,140.15,141.1,27157
20190401,141.51,143.41,141.51,143.3,38118
20190402,143.35,143.95,142.6,143,25746
20190403,143.65,144.22,143.01,143.63,28691
20190404,143.62,144.14,142.54,142.78,30374
20190405,143.29,143.5,142.46,143.28,28225
20190408,143.02,143.42,142.87,143.39,23285
20190409,142.66,142.95,141.84,142.11,27204
20190410,142.2,143.495,141.98,143.02,24505
20190411,143.8,144.11,143.03,143.78,28550
20190412,144.26,144.44,143.7,144.35,27692
20190415,144.4,144.4597,143.27,143.9,30265
20190416,144.4,145.39,144.02,145.14,57760
20190417,137.37,141.98,136.26,139.11,107431
20190418,139,140.49,138.7,140.33,37461
20190422,139.42,140.56,138.48,138.89,34219
20190423,139.15,140.92,138.9399,140.44,33502
20190424,140.6,141.31,139.78,139.95,26135
20190425,139.7,139.7482,137.71,138.63,27303
20190426,139.34,139.89,138.81,139.44,23687
20190429,139.15,139.63,138.81,139.05,22171
20190430,139.11,140.44,138.68,140.27,28252
20190501,140.55,141.81,140.17,140.56,28354
20190502,140.5,141.28,139.41,139.59,32724
20190503,139.7,141,139.63,140.25,22436
