Date,Open,High,Min,Close,Stock_trade
20190305,53.85,53.99,53.11,53.68,109009
20190306,53.63,53.65,52.94,52.95,85844
20190307,52.77,52.985,52.36,52.6,98508
20190308,51.97,52.56,51.7,52.48,93404
20190311,52.88,53.65,52.57,53.35,94031
20190312,53.34,53.96,53.175,53.57,98122
20190313,54,54.57,53.65,54.37,112460
20190314,54.3,54.45,53.33,53.44,106097
20190315,53.68,54.69,53.68,54.33,110470
20190318,54.42,54.505,53.87,54.1,80030
20190319,54.47,54.645,54,54.17,89335
20190320,54.06,54.4,53.61,53.82,113821
20190321,53.92,54.99,53.84,54.64,90334
20190322,54.4,54.615,53.21,53.26,111030
20190325,52.97,53.545,52.375,52.78,98903
20190326,53.32,53.77,53.04,53.44,103872
20190327,53.59,53.86,52.94,53.16,114891
20190328,53.25,53.44,52.77,53.11,78164
20190329,53.8,54.04,53.48,53.7,89407
20190401,54.34,54.57,54.1,54.51,93437
20190402,54.53,54.8,54.225,54.36,75674
20190403,55.03,55.99,54.89,55.48,126916
20190404,55.27,56.14,55.27,55.92,92046
20190405,55.75,55.95,54.87,55.6,95225
20190408,55.28,55.74,55.2,55.68,69275
20190409,55.35,55.43,54.9,55.32,70154
20190410,55.32,55.86,55.32,55.75,64917
20190411,55.76,56.07,55.63,55.8,62071
20190412,56.21,56.49,55.84,56.42,68803
20190415,56.46,56.555,55.92,56.28,67320
20190416,56.66,57.47,56.07,56.71,152179
20190417,58.44,59.59,58.12,58.56,201085
20190418,58.71,58.88,58.1238,58.49,105350
20190422,58.15,58.83,57.88,58.82,63912
20190423,58.89,58.98,58.5,58.78,89528
20190424,58.52,59.2899,58.14,58.72,85366
20190425,58.3,58.38,57.23,57.61,156839
20190426,52.74,53.09,51.52,52.43,360422
20190429,52.17,52.43,51,51.11,181596
20190430,51,51.43,50.87,51.04,122956
20190501,51.1,51.6,50.74,50.76,104873
20190502,50.8,51.325,50.12,50.55,126732
20190503,51.08,51.82,50.73,51.75,128811
