Date,Open,High,Min,Close,Stock_trade
20190305,40.25,40.67,39.51,39.99,141477
20190306,39.38,39.45,37.52,37.93,218025
20190307,37.54,38.31,37.1399,37.83,162309
20190308,36.89,38.815,36.57,38.65,145153
20190311,38.91,39.55,38.83,39.03,108575
20190312,39.17,39.4,38.83,39.25,86786
20190313,39.4,39.72,38.64,38.83,98563
20190314,38.74,39.63,38.34,38.41,92781
20190315,38.58,39.84,38.43,39.54,120270
20190318,39.6,40.41,39.15,39.61,102953
20190319,39.93,41.05,39.89,40.37,145050
20190320,40.5,40.75,39.62,40.13,201173
20190321,41.7,44.21,41.65,43.99,361176
20190322,43.47,43.48,41.55,41.62,199804
20190325,41.34,41.98,40.063,40.55,150771
20190326,41.17,41.65,40.1,40.32,117218
20190327,40.38,40.85,39.01,39.23,130682
20190328,39.4,39.94,39.02,39.34,107766
20190329,40.25,41.52,40.22,41.33,166914
20190401,42.265,42.76,41.715,42.25,135722
20190402,42.08,42.79,41.75,42.44,97404
20190403,43.55,44.85,43.55,43.9,181093
20190404,42.36,43.33,42.25,42.89,161317
20190405,43.3,43.535,42.72,43.32,87820
20190408,42.18,43.14,42.12,42.9,94731
20190409,42.54,42.6,41.27,41.72,119780
20190410,41.69,42.435,41.51,42.17,105452
20190411,42.2,42.725,42.13,42.28,88712
20190412,42.85,43.195,41.805,42.01,91543
20190415,42.17,42.23,41.2,41.82,77981
20190416,42.26,42.93,42.08,42.76,92039
20190417,43.36,44.05,42.76,43.15,113328
20190418,43.2,43.53,42.79,43.4,67093
20190422,43.14,43.57,42.53,43.4,72548
20190423,43.37,43.47,42.72,42.77,78618
20190424,42.82,43.4,42.38,43.03,79586
20190425,43.62,44.65,42.69,42.75,135389
20190426,41.49,42.28,40.765,42.1,136898
20190429,42.13,42.61,41.73,42.11,64720
20190430,41.86,42.36,41.58,42.06,77940
20190501,42.43,42.93,41.89,41.9,82055
20190502,42,43.2,41.63,42.56,85332
20190503,42.49,43.38,42.41,43.33,78542
