Date,Open,High,Min,Close,Stock_trade
20190305,112.25,112.39,111.23,111.7,117995
20190306,111.87,112.66,111.43,111.75,129586
20190307,111.4,111.55,109.865,110.39,166512
20190308,109.16,110.71,108.8,110.51,159305
20190311,110.99,112.95,110.98,112.83,158012
20190312,112.82,113.99,112.6499,113.62,160480
20190313,114.13,115,113.78,114.5,165840
20190314,114.54,115.2,114.33,114.59,141674
20190315,115.34,117.25,114.59,115.91,209497
20190318,116.17,117.61,116.05,117.57,163251
20190319,118.09,118.44,116.99,117.65,190259
20190320,117.39,118.75,116.71,117.52,178017
20190321,117.135,120.82,117.09,120.22,177075
20190322,119.5,119.59,117.04,117.05,216932
20190325,116.56,118.01,116.3224,117.66,191853
20190326,118.62,118.705,116.85,117.91,187014
20190327,117.875,118.21,115.5215,116.77,165643
20190328,117.44,117.58,116.13,116.93,133564
20190329,118.07,118.32,116.96,117.94,135651
20190401,118.95,119.1085,118.1,119.02,139651
20190402,119.06,119.48,118.52,119.19,113158
20190403,119.86,120.43,119.15,119.97,145347
20190404,120.1,120.23,118.38,119.36,144205
20190405,119.39,120.23,119.37,119.89,103323
20190408,119.81,120.02,118.64,119.93,104371
20190409,118.63,119.54,118.58,119.28,119226
20190410,119.76,120.35,119.54,120.19,111590
20190411,120.54,120.85,119.92,120.33,112622
20190412,120.64,120.98,120.37,120.95,124456
20190415,120.94,121.58,120.57,121.05,112379
20190416,121.64,121.65,120.1,120.77,111987
20190417,121.24,121.85,120.54,121.77,137786
20190418,122.19,123.52,121.3018,123.37,162839
20190422,122.62,124,122.57,123.76,109055
20190423,124.1,125.58,123.83,125.44,167919
20190424,125.79,125.85,124.52,125.01,198515
20190425,130.06,131.37,128.83,129.15,261744
20190426,129.7,130.5152,129.02,129.89,159773
20190429,129.9,130.18,129.35,129.77,118162
20190430,129.81,130.7,129.3947,130.6,157410
20190501,130.53,130.65,127.7,127.88,176194
20190502,127.98,128,125.52,126.21,215743
20190503,127.36,129.43,127.25,128.9,161470
