Date,Open,High,Min,Close,Stock_trade
20190305,351.46,356.17,348.25,354.3,59422
20190306,353.6,359.88,351.7,359.61,62905
20190307,360.16,362.86,350.5,352.6,66199
20190308,345.75,349.92,342.47,349.6,74980
20190311,352,358.98,350.03,358.86,55044
20190312,359.37,360.13,353.8,356.27,51376
20190313,355.81,362.48,352.765,361.21,63359
20190314,360.5,363.84,358.1008,358.82,55808
20190315,361.02,364,358.89,361.46,65157
20190318,362.47,370.9705,361.86,363.44,70530
20190319,366.4,366.96,356.8,358.78,72250
20190320,358.91,375.9,357.01,375.22,106202
20190321,374,379,370.61,377.87,85522
20190322,375.95,376.43,360.04,361.01,95332
20190325,359,367.0399,357.44,366.23,81295
20190326,367.87,368.38,358.02,359.97,71941
20190327,361,362.47,350.37,353.37,77816
20190328,354.485,355.94,349.2,354.61,46353
20190329,357.16,358.25,353.71,356.56,49711
20190401,359,368.33,358.51,366.96,73079
20190402,366.25,368.42,362.22,367.72,56246
20190403,369.26,373.4105,366.19,369.75,61573
20190404,370.07,372.05,362.4,367.88,50992
20190405,369,369.8,364.66,365.49,47824
20190408,365.11,365.94,359.93,361.41,49774
20190409,360.54,366.74,359,364.71,55768
20190410,365.79,368.8481,362.25,363.92,50761
20190411,365,370.12,360.81,367.65,68449
20190412,360.69,361.75,349.36,351.14,170914
20190415,350.71,352.21,342.27,348.87,98465
20190416,355,364.4787,352.72,359.46,203441
20190417,365.05,368.764,350.6,354.74,189670
20190418,355,360.41,351.64,360.35,77074
20190422,359.7,377.69,359,377.34,118288
20190423,375.45,384.8,374.7069,381.89,105821
20190424,381.07,381.9,373.2698,374.23,72019
20190425,374.49,374.76,365.7,368.33,70744
20190426,368.35,375.14,366.24,374.85,56516
20190429,373.68,374.5753,369.115,371.83,44884
20190430,369.56,374.5,368.348,370.54,45388
20190501,374,385.99,373.1746,378.81,101649
20190502,378,383.5,374.51,379.06,57497
20190503,381.53,385.03,378.2717,385.03,55337
