Date,Open,High,Min,Close,Stock_trade,
20190305,2019/3/5,6.09,6.19,6.09,6.16,25460
20190306,2019/3/6,6.12,6.13,6.06,6.1,20696
20190307,2019/3/7,6.07,6.08,6.02,6.03,24787
20190308,2019/3/8,5.96,6.085,5.95,6.07,26543
20190311,2019/3/11,6.05,6.17,6.04,6.14,32834
20190312,2019/3/12,6.18,6.245,6.15,6.2,31071
20190313,2019/3/13,6.15,6.18,6.13,6.14,21540
20190314,2019/3/14,6.17,6.25,6.15,6.22,22288
20190315,2019/3/15,6.34,6.42,6.31,6.39,24902
20190318,2019/3/18,6.37,6.38,6.31,6.33,24021
20190319,2019/3/19,6.38,6.41,6.32,6.35,24094
20190320,2019/3/20,6.29,6.325,6.21,6.29,23798
20190321,2019/3/21,6.26,6.34,6.24,6.26,26966
20190322,2019/3/22,5.94,6.02,5.76,5.88,77421
20190325,2019/3/25,5.93,5.95,5.83,5.87,30256
20190326,2019/3/26,5.86,5.87,5.8,5.82,27593
20190327,2019/3/27,5.81,5.86,5.78,5.82,25035
20190328,2019/3/28,5.72,5.74,5.66,5.69,35367
20190329,2019/3/29,5.74,5.76,5.69,5.72,27930
20190401,2019/4/1,5.78,5.8,5.75,5.77,28013
20190402,2019/4/2,5.83,5.85,5.77,5.81,19919
20190403,2019/4/3,5.92,5.96,5.89,5.9,20345
20190404,2019/4/4,5.95,5.96,5.88,5.9,21641
20190405,2019/4/5,5.93,5.94,5.91,5.92,12829
20190408,2019/4/8,5.94,5.96,5.9,5.96,16326
20190409,2019/4/9,5.89,5.9167,5.85,5.86,15885
20190410,2019/4/10,5.86,5.89,5.84,5.85,16368
20190411,2019/4/11,5.86,5.9,5.84,5.87,13921
20190412,2019/4/12,5.9,5.96,5.88,5.94,18173
20190415,2019/4/15,5.73,5.73,5.63,5.64,45400
20190416,2019/4/16,5.68,5.72,5.66,5.68,19764
20190417,2019/4/17,5.76,5.87,5.75,5.82,25886
20190418,2019/4/18,5.8,5.84,5.77,5.81,16015
20190422,2019/4/22,5.84,5.84,5.775,5.81,17683
20190423,2019/4/23,5.77,5.81,5.75,5.8,20172
20190424,2019/4/24,5.81,5.837,5.76,5.79,24115
20190425,2019/4/25,5.34,5.3531,5.2,5.3,70698
20190426,2019/4/26,5.34,5.45,5.33,5.36,30459
20190429,2019/4/29,5.36,5.37,5.3,5.32,34225
20190430,2019/4/30,5.24,5.33,5.23,5.28,29945
20190501,2019/5/1,5.31,5.34,5.22,5.22,25986
20190502,2019/5/2,5.21,5.22,5.15,5.19,25421
20190503,2019/5/3,5.14,5.21,5.13,5.18,25137
