Date,Open,High,Min,Close,Stock_trade
20190305,156.15,158.0571,153.96,156.52,74824
20190306,156.16,156.5,151.94,152.05,78917
20190307,151.1,151.49,147.4001,149.26,86109
20190308,145.66,151.07,144.8,150.64,75246
20190311,151.59,162.06,149.69,161.14,145518
20190312,162.26,164.39,159.19,162.52,111525
20190313,164.03,169.8,163.73,168.62,137720
20190314,168.99,169.47,165.25,165.56,91842
20190315,167.3,171.53,167.16,169.81,103703
20190318,171.08,173.25,167.8577,168.95,91332
20190319,172.76,177.5,172.08,175.71,155614
20190320,176.88,179.03,173,174.4,125547
20190321,175.33,185,175.13,183.94,143238
20190322,182.84,184.7997,176.94,177.5,130300
20190325,175.86,178.45,171.11,173.78,101481
20190326,179.489,181.75,174.5969,176.87,124457
20190327,177.9,179.77,173.7,176.5,84821
20190328,177.55,179.9,175.11,177.25,76707
20190329,179.94,180.54,177.91,179.56,74065
20190401,183.26,183.5,180.3745,182.28,83450
20190402,183.25,184.7887,181.52,183,79800
20190403,185,191,184.8,188.62,179434
20190404,188,189.97,185.73,188.26,115325
20190405,190,191.65,188.53,190.95,88368
20190408,189.72,192.8,188.75,191.79,78959
20190409,190.44,190.89,187.56,189.26,86536
20190410,189.23,193.14,189.05,192.1,100629
20190411,192.2,193.47,189.55,191.54,85485
20190412,193.1,193.26,189.66,190.01,77459
20190415,189.7,189.9,183.1,184.7,105507
20190416,186.28,188.97,184.9641,188.21,82793
20190417,189.62,190.46,186.39,187.29,81734
20190418,187.56,188.93,185.18,186.3,71898
20190422,185.35,189.1,184.08,188.47,60842
20190423,189,191.93,188.61,190.67,80589
20190424,191.09,192.81,188.64,191.17,71832
20190425,189.55,190.45,183.7,186.91,118230
20190426,180.71,180.8876,173.3,178.09,203240
20190429,178.41,180.45,175.5,179.33,80007
20190430,178.03,182.03,177.26,181,86534
20190501,183.11,184.81,180.46,180.47,81488
20190502,180.86,184.87,179.115,183.19,92486
20190503,183.53,183.93,180.53,183.01,81761
