Date,Open,High,Min,Close,Stock_trade
20190305,53.9,54.225,53.7,53.94,58426
20190306,53.89,55.46,53.73,54.8,107525
20190307,54.83,55.05,53.61,54.03,89380
20190308,53.45,53.63,53.03,53.53,67987
20190311,53.72,54.745,53.65,54.35,64527
20190312,54.66,55.31,54.54,54.84,58993
20190313,55.03,55.94,55,55.39,60563
20190314,55.53,55.87,55.25,55.4,52647
20190315,55,57.34,54.9201,56.6,115383
20190318,56.62,57.19,56.44,56.83,67015
20190319,57.17,57.68,56.775,56.97,66537
20190320,57.03,57.69,56.75,57.16,56942
20190321,57.23,58.28,57.2,57.77,66380
20190322,57.68,58.09,56.7548,56.82,69468
20190325,56.58,56.9369,56.07,56.64,55031
20190326,57.15,58.39,56.67,58,108305
20190327,57.35,57.665,56.32,56.91,79036
20190328,57.03,57.39,56.34,56.55,58162
20190329,57,57.555,56.94,57.03,56937
20190401,57.64,58.15,57.11,57.81,72869
20190402,57.98,58.53,57.66,58.09,52755
20190403,58.2,58.29,57.18,57.68,77273
20190404,57.75,58.61,57.69,57.86,61455
20190405,57.98,58.19,57.685,57.99,67930
20190408,57.79,58.49,57.505,57.76,61910
20190409,57.57,57.66,57.03,57.44,69412
20190410,57.71,57.86,56.1,56.33,89938
20190411,56.44,56.9,55.785,55.9,77166
20190412,56.28,57.17,56.07,56.95,76420
20190415,57.14,57.67,57.025,57.18,58479
20190416,57.46,71.03,57.29,70.45,437460
20190417,78.82,82.52,76.49,79.08,757055
20190418,78.72,80.2,78.0202,79.89,223068
20190422,79.83,82.5,79.3376,81.97,193514
20190423,83.9,87.96,83.27,86.72,307322
20190424,87.04,88.63,85.3,86.83,234145
20190425,86.17,86.32,84.515,85.07,136009
20190426,84.51,86.755,84.21,86.64,118425
20190429,86.4,87.98,85.84,87.25,99380
20190430,86.98,87.4599,86.05,86.13,101020
20190501,87.17,88.22,86.15,86.37,149765
20190502,87.5,90.34,86.15,87.14,205884
20190503,87.76,89.82,87.06,89.29,134129
