Date,Open,High,Min,Close,Stock_trade
20190305,102.95,103.52,102.58,103.38,10392
20190306,103.38,104.18,102.81,103.68,11616
20190307,103.54,103.8,102.55,103.26,13312
20190308,100.65,103.3,100.65,103.2,13037
20190311,103.52,105.5,103.52,105.41,10968
20190312,105.82,107.26,105.79,106.9,15497
20190313,107.35,108.33,107.35,107.63,11450
20190314,107.5,108.23,107.11,108,11684
20190315,108.05,110.15,108,109.17,13543
20190318,109.03,109.69,108.74,109.31,11928
20190319,109.97,110.14,108.741,109.19,11450
20190320,109.17,110.01,108.34,109.27,10120
20190321,109.13,112.93,109.045,112.91,12619
20190322,112.4,112.5,110.29,110.31,16253
20190325,109.94,111.38,109.11,111.36,13706
20190326,112.36,113.07,111.84,112.4,13047
20190327,112.52,113,110.9,112.49,13489
20190328,112.74,114.08,112.2383,113.93,8712
20190329,114.71,115.2058,114,115.15,11756
20190401,116.49,117.78,115.84,117.57,16144
20190402,117.57,117.66,115.74,117.51,16535
20190403,118.45,119.23,116.94,117.42,16825
20190404,117.49,117.77,114.48,115.26,15087
20190405,115.88,116.74,115.02,116.59,12982
20190408,116.22,116.67,114.83,116.43,7647
20190409,116.12,117.01,116.06,116.69,8216
20190410,116.8,117.73,116.6901,117.28,9142
20190411,117.58,118.27,116.86,117.76,10348
20190412,118.69,119.21,117.39,118.19,9461
20190415,118.31,118.94,117.03,117.57,11616
20190416,118.08,118.51,116.12,116.73,11030
20190417,117.45,117.57,115.97,116.04,12845
20190418,116.55,116.55,113.81,115.98,12811
20190422,115.7,117.46,115.01,116.99,7607
20190423,118.42,120.745,118.03,119.89,16065
20190424,120.25,121.37,119.78,119.87,10343
20190425,119.95,120.43,118.41,119.7,9470
20190426,119.61,120.12,118.19,120.12,10395
20190429,120.18,120.98,119.84,119.86,8012
20190430,119.88,121.18,119.66,121.08,9977
20190501,121.32,121.45,120.05,120.09,8818
20190502,120,121,119.19,120.7,12457
20190503,120.5,122.36,120.5,121.65,8274
