Date,Open,High,Min,Close,Stock_trade
20190305,282,284,270.1,276.54,221811
20190306,276.48,281.5058,274.39,276.24,106303
20190307,278.84,284.7,274.25,276.59,100223
20190308,276.91,285.59,275.89,284.14,90782
20190311,283.52,291.28,280.5,290.92,84667
20190312,286.49,288.07,281.06,283.36,79613
20190313,283.9,291.99,282.7,288.96,70251
20190314,292.45,295.39,288.29,289.96,76870
20190315,283.51,283.7244,274.4,275.43,160223
20190318,276,278.05,267.3,269.49,116072
20190319,267.5,273.3,263.46,267.47,114158
20190320,269.69,274.97,266.3,273.6,71033
20190321,272.6,276.45,268.45,274.02,63312
20190322,272.58,272.8,264,264.53,94417
20190325,259.71,263.18,254.46,260.42,105066
20190326,264.44,270.26,264.43,267.77,75670
20190327,268.75,275.37,268.1838,274.83,85399
20190328,277.16,280.33,275.1,278.62,68235
20190329,278.7,280.16,274.5,279.86,63667
20190401,282.62,289.2,281.281,289.18,85532
20190402,288.3,289.44,283.88,285.88,59790
20190403,287.32,296.17,287.17,291.81,85615
20190404,261.89,271.2,260.59,267.78,299200
20190405,269.86,276.1,266.11,274.96,132667
20190408,277.69,281.16,270.44,273.2,100256
20190409,271.65,275,269.61,272.31,56969
20190410,276.74,278.38,272.8925,276.06,67468
20190411,268.3,270.5,265.6,268.42,110278
20190412,270.22,271.95,266.83,267.7,67156
20190415,268.63,268.88,258.63,266.38,109071
20190416,265.75,275,264.72,273.36,80304
20190417,274.75,274.79,268.535,271.23,55079
20190418,271.23,274.84,269.75,273.26,54881
20190422,269,269.68,262.48,262.75,129726
20190423,260.15,265.6,255.75,263.9,109237
20190424,263.85,265.32,258,258.66,127499
20190425,255,259,246.07,247.63,252490
20190426,246.5,246.68,231.13,235.14,258318
20190429,235.86,243.98,232.17,241.47,165120
20190430,242.06,244.21,237,238.69,88562
20190501,238.85,240,231.5,234.01,108382
20190502,245.52,247.13,237.72,244.1,173520
20190503,243.86,256.61,243.49,255.03,205076
