Date,Open,High,Min,Close,Stock_trade
20190305,26.7,26.99,26.7,26.99,56
20190306,26.75,27.1,26.75,27.1,66
20190307,27.1,27.18,26.98,26.98,124
20190308,27.02,27.02,26.38,26.6,69
20190311,26.75,26.75,26.17,26.23,109
20190312,26.2807,26.32,26.26,26.31,17
20190313,26.31,26.35,26.3,26.3,24
20190314,26.3,26.35,26.28,26.34,63
20190315,26.15,26.42,26.06,26.42,77
20190318,26.42,26.44,26.415,26.43,70
20190319,26.42,26.4602,26.2,26.415,23
20190320,26.28,26.41,26.28,26.41,40
20190321,26.3883,26.4133,26.22,26.41,31
20190322,26.488,26.488,26.47,26.48,16
20190325,26.29,26.485,26.29,26.45,18
20190326,26.43,26.49,26.22,26.48,98
20190327,26.54,26.99,26.48,26.97,95
20190328,26.94,26.95,26.83,26.83,119
20190329,26.8794,27,26.77,26.9,89
20190401,26.9,27.25,26.9,27.08,244
20190402,26.9244,27.15,26.881,27.08,73
20190403,26.98,27,26.48,26.59,153
20190404,26.54,26.67,26.54,26.67,13
20190405,26.6658,26.67,26.65,26.65,35
20190408,26.59,26.6593,26.35,26.35,92
20190409,26.41,26.41,26.17,26.17,131
20190410,26.275,26.275,26.15,26.19,98
20190411,26.1,26.14,26.04,26.14,37
20190412,26.18,26.22,26.1,26.1,23
20190415,26.1,26.1,25.9974,26.03,51
20190416,26.08,26.08,25.95,26.02,33
20190417,25.94,26.02,25.94,26.02,31
20190418,26.02,26.02,25.99,26.02,30
20190422,26.05,26.05,25.95,25.96,87
20190423,25.98,26.0469,25.96,25.98,132
20190424,26,26,25.9,25.96,101
20190425,26,26,25.87,25.94,83
20190426,25.88,25.92,25.86,25.86,174
20190429,25.9,25.92,25.8,25.9,24
20190430,25.89,26.07,25.89,25.97,142
20190501,26.05,26.05,25.85,25.92,25
20190502,25.9893,25.9893,25.9115,25.9115,5
20190503,25.925,25.925,25.8038,25.81,18
