Date,Open,High,Min,Close,Stock_trade
20190305,122.38,124.22,122.07,122.95,29816
20190306,123.06,123.55,120.94,121.36,27531
20190307,120.51,120.99,119.36,119.91,32433
20190308,117.82,118.965,116.57,118.63,44177
20190311,120.5,122.06,119.7574,121.94,39706
20190312,122.5,123.25,121.17,122.39,31499
20190313,123,124.37,122.04,122.93,27819
20190314,123.2,123.86,122.045,122.48,22000
20190315,123.44,125.315,123.075,124.17,32025
20190318,124.22,125.91,124.22,125.28,31623
20190319,126.1,127.29,125.65,127.06,29545
20190320,126.14,127.8057,125.73,126.31,31986
20190321,126.53,130.57,126.19,130.05,36876
20190322,129.81,129.96,126.21,126.89,31288
20190325,126.17,126.25,122.45,124.13,40277
20190326,125.65,127.12,125.38,126.63,24707
20190327,127,127.35,123.79,125.14,22165
20190328,125.91,128.07,125.5,126.57,27694
20190329,128.65,129.2194,125.91,126.79,37391
20190401,128.88,129.97,128.3,129.73,32840
20190402,130,130.2708,128.42,129.09,27590
20190403,130.11,130.6473,127.52,128.57,36274
20190404,128.71,129.8329,126.82,127.82,28761
20190405,128.81,129.41,127.95,129.08,20361
20190408,129.07,130.01,127.35,129.9,20382
20190409,129.3,130.15,127.66,128.93,26314
20190410,129.41,133.07,129.04,131.59,38236
20190411,131.41,132.5111,130.6289,132.07,17821
20190412,133.1,134.48,132.5,134.41,29482
20190415,134.41,135.38,133.45,134.06,28414
20190416,134.73,135.75,133.39,134.98,33375
20190417,136,137.23,134.66,135.82,30643
20190418,136,136.385,132.928,134.95,37542
20190422,135,135.6899,133.38,134.44,25323
20190423,135,137.46,134.75,137.15,38515
20190424,137.45,141.6,136.81,139.72,78009
20190425,126.35,126.6,115.25,115.86,204392
20190426,115.52,119.3,110.31,118.93,118325
20190429,118.55,118.93,115.84,117.08,46963
20190430,117.13,120.42,117,120.14,42783
20190501,121,121.75,116.44,116.64,44103
20190502,116.64,119.59,116.35,118.9,35395
20190503,119.75,119.88,117.894,119.02,28724
