Date,Open,High,Min,Close,Stock_trade
20190305,37.2,37.49,37.11,37.12,55028
20190306,37.14,37.54,36.8,36.81,57783
20190307,36.73,36.775,36.08,36.21,65469
20190308,36.02,36.02,35.51,35.89,73104
20190311,35.93,36.34,35.82,36.25,61798
20190312,36.44,36.495,36.11,36.28,42772
20190313,36.3,36.74,36.16,36.46,48855
20190314,36.38,36.62,36.17,36.35,43650
20190315,36.35,36.58,36.02,36.3,60805
20190318,36.31,36.58,36.18,36.27,42126
20190319,36.46,37.2,36.4,36.87,63267
20190320,36.76,36.91,36.57,36.7,56139
20190321,36.74,37.39,36.575,37.2,54149
20190322,37.06,37.44,36.49,36.65,47643
20190325,36.59,36.805,36.28,36.72,36756
20190326,36.92,37.09,36.64,36.9,36118
20190327,36.95,37.0932,36.58,36.83,40866
20190328,36.92,37.43,36.62,36.78,57444
20190329,36.95,37.17,36.87,37.14,42100
20190401,37.41,37.77,37.36,37.68,42620
20190402,37.8,38.18,37.62,37.92,41099
20190403,38.18,38.24,37.86,37.99,40287
20190404,37.88,38.18,37.825,38.05,31325
20190405,38.11,38.33,37.74,37.84,35455
20190408,37.79,37.99,37.695,37.81,33423
20190409,37.64,37.86,37.473,37.75,33644
20190410,37.86,37.86,37.46,37.72,37624
20190411,37.63,37.63,35.89,36.32,98019
20190412,36.59,36.72,35.99,36.17,64699
20190415,36.25,36.47,36.02,36.23,44488
20190416,36.34,36.57,36.28,36.39,43802
20190417,36.46,36.75,35.72,35.97,59334
20190418,36.09,36.175,35.44,35.98,55524
20190422,35.92,36.23,35.61,36.15,39049
20190423,36.07,36.79,36.04,36.67,79088
20190424,38,38.745,37.56,38.52,120701
20190425,38.36,38.51,37.74,38.11,44030
20190426,38.25,38.49,38.02,38.36,33208
20190429,38.35,38.38,37.88,38.25,43367
20190430,38.27,38.8,37.96,38.75,38835
20190501,38.78,38.94,37.77,37.8,50901
20190502,37.79,38.18,37.53,37.59,49988
20190503,37.95,38.3,37.86,38.28,38011
